count,date,year
190,2016-01-01,2016
207,2016-01-02,2016
227,2016-01-03,2016
264,2016-01-04,2016
262,2016-01-05,2016
358,2016-01-06,2016
237,2016-01-07,2016
316,2016-01-08,2016
185,2016-01-09,2016
193,2016-01-10,2016
281,2016-01-11,2016
254,2016-01-12,2016
240,2016-01-13,2016
272,2016-01-14,2016
253,2016-01-15,2016
202,2016-01-16,2016
214,2016-01-17,2016
229,2016-01-18,2016
224,2016-01-19,2016
241,2016-01-20,2016
284,2016-01-21,2016
292,2016-01-22,2016
235,2016-01-23,2016
212,2016-01-24,2016
284,2016-01-25,2016
251,2016-01-26,2016
251,2016-01-27,2016
264,2016-01-28,2016
256,2016-01-29,2016
195,2016-01-30,2016
209,2016-01-31,2016
277,2016-02-01,2016
167,2016-02-02,2016
232,2016-02-03,2016
260,2016-02-04,2016
273,2016-02-05,2016
200,2016-02-06,2016
193,2016-02-07,2016
280,2016-02-08,2016
258,2016-02-09,2016
287,2016-02-10,2016
265,2016-02-11,2016
267,2016-02-12,2016
231,2016-02-13,2016
184,2016-02-14,2016
213,2016-02-15,2016
264,2016-02-16,2016
220,2016-02-17,2016
273,2016-02-18,2016
266,2016-02-19,2016
218,2016-02-20,2016
203,2016-02-21,2016
242,2016-02-22,2016
248,2016-02-23,2016
265,2016-02-24,2016
281,2016-02-25,2016
261,2016-02-26,2016
231,2016-02-27,2016
225,2016-02-28,2016
284,2016-02-29,2016
230,2016-03-01,2016
277,2016-03-02,2016
308,2016-03-03,2016
288,2016-03-04,2016
205,2016-03-05,2016
209,2016-03-06,2016
253,2016-03-07,2016
252,2016-03-08,2016
267,2016-03-09,2016
298,2016-03-10,2016
281,2016-03-11,2016
233,2016-03-12,2016
199,2016-03-13,2016
287,2016-03-14,2016
246,2016-03-15,2016
258,2016-03-16,2016
265,2016-03-17,2016
265,2016-03-18,2016
194,2016-03-19,2016
181,2016-03-20,2016
246,2016-03-21,2016
233,2016-03-22,2016
154,2016-03-23,2016
221,2016-03-24,2016
245,2016-03-25,2016
219,2016-03-26,2016
176,2016-03-27,2016
235,2016-03-28,2016
218,2016-03-29,2016
224,2016-03-30,2016
254,2016-03-31,2016
249,2016-04-01,2016
224,2016-04-02,2016
205,2016-04-03,2016
292,2016-04-04,2016
260,2016-04-05,2016
281,2016-04-06,2016
285,2016-04-07,2016
269,2016-04-08,2016
223,2016-04-09,2016
188,2016-04-10,2016
274,2016-04-11,2016
279,2016-04-12,2016
290,2016-04-13,2016
283,2016-04-14,2016
315,2016-04-15,2016
229,2016-04-16,2016
129,2016-04-17,2016
267,2016-04-18,2016
